"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "Markdown", "XML", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\project\DATN\spotify-clone\client\src\components\AuthorContent.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"d:\project\DATN\spotify-clone\client\src\components\AuthorItem.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 38
"d:\project\DATN\spotify-clone\client\src\components\AuthorSelectBox.tsx", "TypeScript JSX", 0, 0, 0, 123, 0, 0, 0, 0, 0, 11, 134
"d:\project\DATN\spotify-clone\client\src\components\BannerHeader.tsx", "TypeScript JSX", 0, 0, 0, 120, 0, 0, 0, 0, 0, 10, 130
"d:\project\DATN\spotify-clone\client\src\components\Box.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"d:\project\DATN\spotify-clone\client\src\components\Button.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"d:\project\DATN\spotify-clone\client\src\components\CategoryContent.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"d:\project\DATN\spotify-clone\client\src\components\CategoryItem.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"d:\project\DATN\spotify-clone\client\src\components\CategorySelectBox.tsx", "TypeScript JSX", 0, 0, 0, 65, 0, 0, 0, 0, 0, 7, 72
"d:\project\DATN\spotify-clone\client\src\components\Center.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"d:\project\DATN\spotify-clone\client\src\components\CreatePlaylistModel.tsx", "TypeScript JSX", 0, 0, 0, 215, 0, 0, 0, 0, 0, 26, 241
"d:\project\DATN\spotify-clone\client\src\components\FileUpload.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 7, 53
"d:\project\DATN\spotify-clone\client\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"d:\project\DATN\spotify-clone\client\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 110, 0, 0, 0, 0, 0, 10, 120
"d:\project\DATN\spotify-clone\client\src\components\IconButton.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"d:\project\DATN\spotify-clone\client\src\components\Input.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"d:\project\DATN\spotify-clone\client\src\components\Library.tsx", "TypeScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 0, 8, 78
"d:\project\DATN\spotify-clone\client\src\components\LikeButton.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 12, 83
"d:\project\DATN\spotify-clone\client\src\components\ListItem.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 6, 36
"d:\project\DATN\spotify-clone\client\src\components\LoginModal.tsx", "TypeScript JSX", 0, 0, 0, 180, 0, 0, 0, 0, 0, 9, 189
"d:\project\DATN\spotify-clone\client\src\components\MediaItem.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"d:\project\DATN\spotify-clone\client\src\components\Modal.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"d:\project\DATN\spotify-clone\client\src\components\PlayButton.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\project\DATN\spotify-clone\client\src\components\PlaySlider.tsx", "TypeScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 0, 7, 89
"d:\project\DATN\spotify-clone\client\src\components\Player.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 56
"d:\project\DATN\spotify-clone\client\src\components\PlayerContent.tsx", "TypeScript JSX", 0, 0, 0, 195, 0, 0, 0, 0, 0, 24, 219
"d:\project\DATN\spotify-clone\client\src\components\PlaylistItem.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"d:\project\DATN\spotify-clone\client\src\components\ProfileContent.tsx", "TypeScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 0, 10, 80
"d:\project\DATN\spotify-clone\client\src\components\SearchInput.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 7, 36
